Vehicle Name,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width
Audi A4 1.8T 4dr,1.8,4,170,22,31,3252,104,179,70
Audi A4 3.0 4dr,3,6,220,20,28,3462,104,179,70
Audi A4 3.0 convertible 2dr,3,6,220,20,27,3814,105,180,70
Audi A4 3.0 Quattro 4dr auto,3,6,220,18,25,3627,104,179,70
Audi A4 3.0 Quattro 4dr manual,3,6,220,17,26,3583,104,179,70
Audi A4 3.0 Quattro convertible 2dr,3,6,220,18,25,4013,105,180,70
Audi A41.8T convertible 2dr,1.8,4,170,23,30,3638,105,180,70
Audi A6 2.7 Turbo Quattro 4dr,2.7,6,250,18,25,3836,109,192,71
Audi A6 3.0 4dr,3,6,220,20,27,3561,109,192,71
Audi A6 3.0 Avant Quattro,3,6,220,18,25,4035,109,192,71
Audi A6 3.0 Quattro 4dr,3,6,220,18,25,3880,109,192,71
Audi A6 4.2 Quattro 4dr,4.2,8,300,17,24,4024,109,193,71
Audi A8 L Quattro 4dr,4.2,8,330,17,24,4399,121,204,75
Audi RS 6 4dr,4.2,8,450,15,22,4024,109,191,78
Audi S4 Avant Quattro,4.2,8,340,15,21,3936,104,179,70
Audi S4 Quattro 4dr,4.2,8,340,14,20,3825,104,179,70
Audi TT 1.8 convertible 2dr (coupe),1.8,4,180,20,28,3131,95,159,73
Audi TT 1.8 Quattro 2dr (convertible),1.8,4,225,20,28,2921,96,159,73
Audi TT 3.2 coupe 2dr (convertible),3.2,6,250,21,29,3351,96,159,73
BMW 325Ci 2dr,2.5,6,184,20,29,3197,107,177,69
BMW 325Ci convertible 2dr,2.5,6,184,19,27,3560,107,177,69
BMW 325i 4dr,2.5,6,184,20,29,3219,107,176,69
BMW 325xi 4dr,2.5,6,184,19,27,3461,107,176,69
BMW 325xi Sport,2.5,6,184,19,26,3594,107,176,69
BMW 330Ci 2dr,3,6,225,20,30,3285,107,176,69
BMW 330Ci convertible 2dr,3,6,225,19,28,3616,107,177,69
BMW 330i 4dr,3,6,225,20,30,3285,107,176,69
BMW 330xi 4dr,3,6,225,20,29,3483,107,176,69
BMW 525i 4dr,2.5,6,184,19,28,3428,114,191,73
BMW 530i 4dr,3,6,225,20,30,3472,114,191,73
BMW 545iA 4dr,4.4,8,325,18,26,3814,114,191,73
BMW 745i 4dr,4.4,8,325,18,26,4376,118,198,75
BMW 745Li 4dr,4.4,8,325,18,26,4464,123,204,75
BMW M3 convertible 2dr,3.2,6,333,16,23,3781,108,177,70
BMW M3 coupe 2dr,3.2,6,333,16,24,3415,108,177,70
BMW X3 3.0i,3,6,225,16,23,4023,110,180,73
BMW X5 4.4i,4.4,8,325,16,22,4824,111,184,74
BMW Z4 convertible 2.5i 2dr,2.5,6,184,20,28,2932,98,161,70
BMW Z4 convertible 3.0i 2dr,3,6,225,21,29,2998,98,161,70
Mercedes-Benz C230 Sport 2dr,1.8,4,189,22,30,3250,107,178,68
Mercedes-Benz C240,2.6,6,168,19,25,3470,107,179,68
Mercedes-Benz C240 4dr,2.6,6,168,20,25,3360,107,178,68
Mercedes-Benz C240 4dr,2.6,6,168,19,25,3360,107,178,68
Mercedes-Benz C32 AMG 4dr,3.2,6,349,16,21,3540,107,178,68
Mercedes-Benz C320 4dr,3.2,6,215,20,26,3450,107,178,68
Mercedes-Benz C320 Sport 2dr,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz C320 Sport 4dr,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz CL500 2dr,5,8,302,16,24,4085,114,196,73
Mercedes-Benz CL600 2dr,5.5,12,493,13,19,4473,114,196,73
Mercedes-Benz CLK320 coupe 2dr (convertible),3.2,6,215,20,26,3770,107,183,69
Mercedes-Benz CLK500 coupe 2dr (convertible),5,8,302,17,22,3585,107,183,69
Mercedes-Benz E320,3.2,6,221,19,27,3966,112,190,71
Mercedes-Benz E320 4dr,3.2,6,221,19,27,3635,112,190,71
Mercedes-Benz E500,5,8,302,16,24,4230,112,190,71
